Coin,vol,pnl
TAO,1693805.35,16817.94047
TIA,764851.23,13021.498254
TNSR,415869.25,5106.264766
TON,53812.28,-18.09871
TRUMP,7349346.94,-364824.908179
TRX,73744.58,670.1615039999999
TST,490758.53,3357.994369
TURBO,183553.46,8540.129944
UNI,44427.01,347.766005
UNIBOT,2333.2599999999998,325.055769
USTC,10848.34,346.69317
USUAL,962189.37,69631.943237
VINE,676727.95,4777.252708
VIRTUAL,1361590.25,19544.481508
VVV,213572.86000000002,2212.897418
W,306770.28,1593.757483
WCT,58468.89,1531.72532
WIF,588175.4,8984.600779
WLD,2792841.63,22281.920156
XAI,64998.32,1074.213807
XRP,5343210.53,3756.901464999999
YGG,53533.630000000005,1043.757286
ZEN,38169.05,-1475.390707
ZEREBRO,1320048.45,21166.925278
ZETA,313968.58,4622.601501
ZK,3515.14,99.656693
ZORA,340924.26,6816.51283
ZRO,1213825.42,183777.783689
kBONK,2995780.58,35551.245276
kFLOKI,37380.89,1607.436125
kNEIRO,882.27,5.319437000000001
kPEPE,2450800.07,18676.997284
kSHIB,83627.17,279.13726399999996
