Account,date,daily_pnl,total_volume,trade_count,win_rate,avg_trade_size,long_ratio,value,classification,sentiment_regime,size_segment,freq_segment,is_profitable
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506338999992,13339126.17,1309.0,0.3315508021390374,10190.317929717341,0.5393430099312452,50,Neutral,Neutral,High,Medium,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,33455719.11,1703.0,0.3282442748091603,19645.16682912507,0.5637110980622431,74,Greed,Greed,High,Medium,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089300004,76490050.69,3737.0,0.39175809472839174,20468.303636606903,0.5638212469895638,44,Fear,Fear,High,High,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,727332.0899999999,223.0,0.0,3261.5788789237663,1.0,74,Greed,Greed,Medium,Low,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,163514779.13,5777.0,0.4156136402977324,28304.44506318158,0.4580231954301541,44,Fear,Fear,High,High,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.27403100001,131367.84,250.0,1.0,525.47136,0.0,74,Greed,Greed,Low,Low,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,509692.64999999997,572.0,0.2692307692307692,891.0710664335663,0.6048951048951049,44,Fear,Fear,Low,Medium,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,3294849.9700000007,202.0,0.5148514851485149,16311.138465346537,0.5148514851485149,74,Greed,Greed,High,Low,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.19507299998,7547409.37,932.0,0.43991416309012876,8098.078723175966,0.3208154506437768,44,Fear,Fear,High,Medium,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.57941800001,965878.98,419.0,0.028639618138424822,2305.200429594272,0.026252983293556086,74,Greed,Greed,Medium,Medium,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,1993872.8499999996,939.0,0.3961661341853035,2123.400266240681,0.6112886048988285,44,Fear,Fear,Low,Medium,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419000002,11184217.49,3041.0,0.8240710292666886,3677.8091055573827,0.4633344294639921,84,Extreme Greed,Extreme Greed,Medium,High,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,209.5,6.0,0.16666666666666666,34.916666666666664,0.5,50,Neutral,Neutral,Low,Low,1
