Account,date,daily_pnl,total_volume,trade_count,win_rate,avg_trade_size,long_ratio,fee_sum,fee_avg,crossed_ratio,value,classification,sentiment_regime,size_segment,freq_segment
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.02414199998,1177449.0899999999,258.0,0.2441860465116279,4563.756162790697,0.32170542635658916,137.55949597899996,0.5331763410038758,0.13565891472868216,44,Fear,Fear,High-Size,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,99995.52,88.0,0.0,1136.3127272727272,1.0,253.10601000000003,2.8762046590909094,0.9431818181818182,84,Extreme Greed,Extreme Greed,Low-Size,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.44837399997,438228.4199999999,249.0,0.9518072289156626,1759.9534939759033,0.012048192771084338,31.790452000000002,0.1276724979919679,0.07228915662650602,50,Neutral,Neutral,Low-Size,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.51810499997,289936.94999999995,43.0,0.8837209302325582,6742.719767441859,0.0,101.47670400000001,2.3599233488372096,1.0,74,Greed,Greed,High-Size,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.90586200001,1883941.4700000002,671.0,0.4828614008941878,2807.662399403875,0.3144560357675112,303.392309,0.4521494918032787,0.15350223546944858,44,Fear,Fear,Mid-Size,Normal
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,1834112.9100000001,3711.0,0.3381837779574239,494.23683912692,0.46833737537052006,623.19719655,0.1679324162085691,0.7407706817569388,74,Greed,Greed,Low-Size,Frequent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,2508697.1100000003,4629.0,0.36552171095268954,541.9522812702528,0.49038669259019224,594.3893584661,0.12840556458546123,0.6785482825664291,44,Fear,Fear,Low-Size,Frequent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.16780799999,2769684.87,328.0,0.4115853658536585,8444.161189024391,0.5579268292682927,729.4389679999999,2.2238992926829266,0.6097560975609756,74,Greed,Greed,High-Size,Normal
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,34247716.57,3806.0,0.4952706253284288,8998.349072517078,0.4721492380451918,6908.11976519,1.8150603692038887,0.5522858644245927,44,Fear,Fear,High-Size,Frequent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000001,4540452.9,730.0,0.30684931506849317,6219.798493150685,0.48904109589041095,1589.158168,2.1769289972602737,1.0,84,Extreme Greed,Extreme Greed,High-Size,Normal
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506338999992,13339126.17,1309.0,0.3315508021390374,10190.317929717341,0.5393430099312452,4668.693244,3.566610576012223,1.0,50,Neutral,Neutral,High-Size,Normal
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,33455719.11,1703.0,0.3282442748091603,19645.16682912507,0.5637110980622431,10666.444512,6.263326196124487,1.0,74,Greed,Greed,High-Size,Normal
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089300004,76490050.69,3737.0,0.39175809472839174,20468.303636606903,0.5638212469895638,23153.658383,6.19578763259299,1.0,44,Fear,Fear,High-Size,Frequent
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,727332.0899999999,223.0,0.0,3261.5788789237663,1.0,12.38025211,0.05551682560538117,1.0,74,Greed,Greed,Mid-Size,Infrequent
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,163514779.13,5777.0,0.4156136402977324,28304.44506318158,0.4580231954301541,28156.73061558,4.873936405674225,0.6868616929202008,44,Fear,Fear,High-Size,Frequent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.27403100001,131367.84,250.0,1.0,525.47136,0.0,36.926673,0.147706692,0.936,74,Greed,Greed,Low-Size,Infrequent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,509692.64999999997,572.0,0.2692307692307692,891.0710664335663,0.6048951048951049,120.6785519324,0.21097648939230768,0.9615384615384616,44,Fear,Fear,Low-Size,Normal
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,3294849.9700000007,202.0,0.5148514851485149,16311.138465346537,0.5148514851485149,329.484916,1.6311134455445544,0.0,74,Greed,Greed,High-Size,Infrequent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.19507299998,7547409.37,932.0,0.43991416309012876,8098.078723175966,0.3208154506437768,1129.21995629,1.2116093951609441,0.09120171673819742,44,Fear,Fear,High-Size,Normal
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.57941800001,965878.98,419.0,0.028639618138424822,2305.200429594272,0.026252983293556086,92.724032,0.2212984057279236,0.0,74,Greed,Greed,Mid-Size,Normal
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,1993872.8499999996,939.0,0.3961661341853035,2123.400266240681,0.6112886048988285,188.51338816,0.200759731799787,0.004259850905218318,44,Fear,Fear,Low-Size,Normal
